gpu_0_util,gpu_0_memory_used_mb,gpu_0_memory_total_mb,gpu_0_memory_pct,gpu_0_temp_c,gpu_0_power_w,cpu_percent,cpu_process_percent,memory_system_mb,memory_available_mb,memory_percent,memory_process_mb,io_read_rate_mbps,io_write_rate_mbps,io_wait_pct,step,timestamp,epoch
2.0,344.0,24576.0,1.3997395833333335,29.0,0.0,11.7,0.0,257656.52734375,239461.890625,7.1,1030.46484375,24.35,0.0,2318707641,0,2025-10-07T19:03:42,0
2.0,344.0,24576.0,1.3997395833333335,29.0,0.0,16.3,86.5,257656.52734375,239450.46484375,7.1,1030.46484375,0.0,0.17,2318707641,1,2025-10-07T19:03:42,0
3.0,344.0,24576.0,1.3997395833333335,29.0,0.0,9.0,17.0,257656.52734375,239426.23046875,7.1,1030.46484375,0.0,0.0,2318707641,2,2025-10-07T19:03:42,0
5.0,344.0,24576.0,1.3997395833333335,29.0,0.0,6.1,0.0,257656.52734375,241873.8125,6.1,1030.82421875,0.0,0.0,2318707653,0,2025-10-07T19:03:57,0
5.0,344.0,24576.0,1.3997395833333335,29.0,0.0,5.8,0.0,257656.52734375,241869.3671875,6.1,1030.82421875,0.0,0.15,2318707653,1,2025-10-07T19:03:58,0
5.0,344.0,24576.0,1.3997395833333335,29.0,0.0,6.8,41.3,257656.52734375,241864.18359375,6.1,1030.82421875,0.0,0.0,2318707653,2,2025-10-07T19:03:58,0
4.0,344.0,24576.0,1.3997395833333335,29.0,0.0,6.9,0.0,257656.52734375,240207.78515625,6.8,1031.3828125,0.0,0.0,0.0,0,2025-10-07T19:11:25,0
4.0,344.0,24576.0,1.3997395833333335,29.0,0.0,6.2,42.9,257656.52734375,240203.34765625,6.8,1031.3828125,0.0,0.17,0.0,1,2025-10-07T19:11:25,0
4.0,344.0,24576.0,1.3997395833333335,29.0,0.0,5.9,0.0,257656.52734375,240198.91796875,6.8,1031.3828125,0.0,0.0,0.0,2,2025-10-07T19:11:25,0
2.0,344.0,24576.0,1.3997395833333335,29.0,0.0,11.8,0.0,257656.52734375,239452.6640625,7.1,1030.484375,0.0,0.0,0.0,0,2025-10-07T19:12:02,0
2.0,344.0,24576.0,1.3997395833333335,30.0,0.0,12.5,42.6,257656.52734375,239451.83984375,7.1,1030.484375,0.0,0.17,0.0,1,2025-10-07T19:12:02,0
3.0,344.0,24576.0,1.3997395833333335,30.0,0.0,10.3,41.3,257656.52734375,239447.38671875,7.1,1030.484375,0.0,0.0,0.0,2,2025-10-07T19:12:02,0
4.0,344.0,24576.0,1.3997395833333335,30.0,0.0,11.8,0.0,257656.52734375,241369.11328125,6.3,1030.16796875,0.0,0.0,0.0,0,2025-10-07T19:12:51,0
4.0,344.0,24576.0,1.3997395833333335,30.0,0.0,9.5,90.9,257656.52734375,241358.28515625,6.3,1030.16796875,0.0,0.18,0.0,1,2025-10-07T19:12:51,0
