"trainer/global_step","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step__MIN","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - _step__MAX","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/hmean","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/hmean__MIN","wchoi189_dbnetpp-resnet18-unet-db-head-db-loss-bs8-lr1e-3_hmean0.898 - val/hmean__MAX"
"204","8","8","8","0.8317117094993591","0.8317117094993591","0.8317117094993591"
"409","15","15","15","0.8539326190948486","0.8539326190948486","0.8539326190948486"
"614","22","22","22","0.8814892172813416","0.8814892172813416","0.8814892172813416"
"819","29","29","29","0.8684114813804626","0.8684114813804626","0.8684114813804626"
"1024","36","36","36","0.8578771352767944","0.8578771352767944","0.8578771352767944"
"1229","44","44","44","0.8794590830802917","0.8794590830802917","0.8794590830802917"
"1434","51","51","51","0.899314284324646","0.899314284324646","0.899314284324646"
"1639","58","58","58","0.8907403349876404","0.8907403349876404","0.8907403349876404"
"1844","65","65","65","0.8942245244979858","0.8942245244979858","0.8942245244979858"
"2049","72","72","72","0.8312679529190063","0.8312679529190063","0.8312679529190063"
"2254","80","80","80","0.8621239066123962","0.8621239066123962","0.8621239066123962"
"2459","87","87","87","0.8935413360595703","0.8935413360595703","0.8935413360595703"
"2664","94","94","94","0.8915320038795471","0.8915320038795471","0.8915320038795471"
"2869","101","101","101","0.9026553630828857","0.9026553630828857","0.9026553630828857"
"3074","108","108","108","0.8984860181808472","0.8984860181808472","0.8984860181808472"
