                        , Filename                                , Status   , Detections, Avg Confidence
0                       , drp.en_ko.in_house.selectstar_003228.jpg, ✅ Success,         82, 83.7%
1                       , drp.en_ko.in_house.selectstar_003241.jpg, ✅ Success,         75, 79.7%
2                       , drp.en_ko.in_house.selectstar_003257.jpg, ✅ Success,        129, 81.6%
3                       , drp.en_ko.in_house.selectstar_003262.jpg, ✅ Success,        116, 80.0%
4                       , drp.en_ko.in_house.selectstar_003272.jpg, ✅ Success,        100, 80.4%
5                       , drp.en_ko.in_house.selectstar_003305.jpg, ✅ Success,        109, 82.5%
6                       , drp.en_ko.in_house.selectstar_003313.jpg, ✅ Success,         98, 82.5%
7                       , drp.en_ko.in_house.selectstar_003319.jpg, ✅ Success,        108, 82.9%
8                       , drp.en_ko.in_house.selectstar_003325.jpg, ✅ Success,         75, 80.6%
9                       , drp.en_ko.in_house.selectstar_003326.jpg, ✅ Success,         70, 81.7%
10                      , drp.en_ko.in_house.selectstar_003333.jpg, ✅ Success,         74, 81.7%
11                      , drp.en_ko.in_house.selectstar_003349.jpg, ✅ Success,        127, 81.0%
12                      , drp.en_ko.in_house.selectstar_003350.jpg, ✅ Success,         75, 72.7%
13                      , drp.en_ko.in_house.selectstar_003363.jpg, ✅ Success,         72, 82.8%
14                      , drp.en_ko.in_house.selectstar_003369.jpg, ✅ Success,          6, 47.2%
15                      , drp.en_ko.in_house.selectstar_003373.jpg, ✅ Success,         74, 77.8%
16                      , drp.en_ko.in_house.selectstar_003377.jpg, ✅ Success,         79, 82.1%
17                      , drp.en_ko.in_house.selectstar_003382.jpg, ✅ Success,        123, 81.3%
18                      , drp.en_ko.in_house.selectstar_003386.jpg, ✅ Success,         94, 78.6%
19                      , drp.en_ko.in_house.selectstar_003388.jpg, ✅ Success,         66, 80.5%
20                      , drp.en_ko.in_house.selectstar_003421.jpg, ✅ Success,         98, 82.1%
21                      , drp.en_ko.in_house.selectstar_003442.jpg, ✅ Success,         92, 80.0%
22                      , drp.en_ko.in_house.selectstar_003466.jpg, ✅ Success,         65, 82.0%
23                      , drp.en_ko.in_house.selectstar_003478.jpg, ✅ Success,         73, 84.0%
24                      , drp.en_ko.in_house.selectstar_003492.jpg, ✅ Success,         85, 81.1%
25                      , drp.en_ko.in_house.selectstar_003501.jpg, ✅ Success,        100, 77.4%
26                      , drp.en_ko.in_house.selectstar_003505.jpg, ✅ Success,        105, 71.4%
27                      , drp.en_ko.in_house.selectstar_003506.jpg, ✅ Success,        103, 79.8%
28                      , drp.en_ko.in_house.selectstar_003509.jpg, ✅ Success,        121, 80.4%
29                      , drp.en_ko.in_house.selectstar_003527.jpg, ✅ Success,        105, 81.4%
30                      , drp.en_ko.in_house.selectstar_003535.jpg, ✅ Success,        131, 82.8%
31                      , drp.en_ko.in_house.selectstar_003569.jpg, ✅ Success,         79, 80.9%
32                      , drp.en_ko.in_house.selectstar_003576.jpg, ✅ Success,        129, 78.8%
